Active on port: 4000
black
[75, 54, 19]
('P, I, D, (E), (T) --->', -7.992000000000001, -6.9469689139561455, -4.1625000000000005, 62.59090909090909, 1551058423.508623)
('P, I, D, (E), (T) --->', -11.322000000000001, -14.795484456978073, -3.33, 62.50909090909091, 1551058423.726327)
('P, I, D, (E), (T) --->', -18.98873355102539, -26.386475779514427, -7.66673355102539, 63.054545454545455, 1551058423.918729)
('P, I, D, (E), (T) --->', -25.010014389038087, -38.203252278795304, -6.0212808380126965, 63.9, 1551058424.169208)
('P, I, D, (E), (T) --->', -33.09796224975586, -52.19958838915351, -8.087947860717772, 64.05454545454545, 1551058424.41181)
('P, I, D, (E), (T) --->', -39.67682601928711, -65.77662021386386, -6.578863769531253, 63.86363636363637, 1551058424.587138)
('P, I, D, (E), (T) --->', -43.249807891845705, -76.13811799877763, -3.572981872558593, 56.69090909090909, 1551058424.745818)
('P, I, D, (E), (T) --->', -45.91694805908203, -83.98600705847085, -2.667140167236326, 46.78181818181818, 1551058424.885491)
('P, I, D, (E), (T) --->', -48.56482040405274, -90.55782393328816, -2.6478723449707076, 34.981818181818184, 1551058425.137528)
('P, I, D, (E), (T) --->', -45.95398983764649, -91.23290180429058, 2.61083056640625, 23.072727272727274, 1551058425.384185)
('P, I, D, (E), (T) --->', -42.34886444091797, -87.96531534306325, 3.6051253967285177, 52.018181818181816, 1551058425.600327)
('P, I, D, (E), (T) --->', -22.964352951049808, -66.94701062258143, 19.384511489868164, 56.32727272727273, 1551058425.764322)
('P, I, D, (E), (T) --->', -0.734727996826172, -34.20823330811689, 22.229624954223635, 61.39090909090909, 1551058425.955919)
('P, I, D, (E), (T) --->', 2.6354691925048828, -14.468647461553562, 3.370197189331055, 65.48181818181818, 1551058426.20782)
('P, I, D, (E), (T) --->', 3.3520980377197267, -3.8822256930570544, 0.7166288452148439, 65.51818181818182, 1551058426.456353)
('P, I, D, (E), (T) --->', 4.846212982177734, 2.905100135649207, 1.4941149444580075, 65.95454545454545, 1551058426.691887)
('P, I, D, (E), (T) --->', 6.180718002319336, 7.63326807014394, 1.3345050201416022, 65.7909090909091, 1551058426.848019)
('P, I, D, (E), (T) --->', 6.673678527832031, 10.490312562904002, 0.49296052551269476, 65.74545454545455, 1551058426.994267)
('P, I, D, (E), (T) --->', 6.8265, 12.071656281452, 0.15282147216796904, 65.72727272727273, 1551058427.191495)
('P, I, D, (E), (T) --->', 6.993, 13.028828140726, 0.1665000000000001, 65.69090909090909, 1551058427.393978)
('P, I, D, (E), (T) --->', 8.658000000000001, 15.172414070363, 1.665000000000001, 65.5909090909091, 1551058427.625851)
('P, I, D, (E), (T) --->', 13.153500000000001, 20.739707035181503, 4.4955, 66.52727272727273, 1551058427.795564)
('P, I, D, (E), (T) --->', 17.8155, 28.18535351759075, 4.661999999999999, 68.06363636363636, 1551058428.002869)
('P, I, D, (E), (T) --->', 23.47424903869629, 37.56692579749166, 5.658749038696289, 70.94545454545455, 1551058428.199272)
('P, I, D, (E), (T) --->', 32.301, 51.084462898745834, 8.826750961303713, 74.55454545454545, 1551058428.461144)
('P, I, D, (E), (T) --->', 42.4575, 67.99973144937292, 10.156500000000001, 76.51818181818182, 1551058428.643082)
('P, I, D, (E), (T) --->', 46.620000000000005, 80.61986572468646, 4.162500000000001, 45.345454545454544, 1551058428.870785)
('P, I, D, (E), (T) --->', 45.288000000000004, 85.59793286234324, -1.3320000000000007, 53.93636363636364, 1551058429.030331)
