Active on port: 4000
init camera on /dev/video0
green
[54, 129, 95]
red
[7, 253, 142]
('P, I, D, (E), (T) --->', 4.274368408166993, 6.034225122959844, 21.448142771970538, 87.8076923076923, 1551057578.543914)
('P, I, D, (E), (T) --->', 6.591994516045872, 9.609107077525795, 21.562220000437833, 86.53846153846153, 1551057578.576559)
('P, I, D, (E), (T) --->', 8.342460765813826, 13.147014304576723, 21.2951225272933, 86.84615384615384, 1551057578.608547)
('P, I, D, (E), (T) --->', 8.034031857958496, 14.607539010246857, 20.07164408893476, 86.76923076923077, 1551057578.644007)
('P, I, D, (E), (T) --->', 10.821167124020405, 18.124936629143832, 20.08937088428388, 85.34615384615384, 1551057578.675843)
('P, I, D, (E), (T) --->', 9.407136357973855, 18.46960467254577, 19.082177012531133, 85.07692307692308, 1551057578.708007)
('P, I, D, (E), (T) --->', 10.621527415252217, 19.856329751525102, 18.447002765898162, 85.0, 1551057578.743927)
('P, I, D, (E), (T) --->', 10.855144123046955, 20.783308998809506, 17.387159373581426, 83.76923076923077, 1551057578.776616)
('P, I, D, (E), (T) --->', 12.922452295303628, 23.31410679470838, 16.96506312114002, 82.38461538461539, 1551057578.808669)
('P, I, D, (E), (T) --->', 11.34739702485075, 23.00445042220494, 15.137464555352778, 82.84615384615384, 1551057578.843888)
('P, I, D, (E), (T) --->', 12.601738394148697, 24.103963605251167, 14.78099319596987, 82.26923076923077, 1551057578.87585)
('P, I, D, (E), (T) --->', 12.744987256435934, 24.796969059061517, 13.906534602380361, 81.46153846153847, 1551057578.907925)
('P, I, D, (E), (T) --->', 13.808873924748639, 26.207358454279397, 12.682907506787728, 81.42307692307692, 1551057578.944205)
('P, I, D, (E), (T) --->', 13.179380226503952, 26.283059453643652, 12.009793516577872, 80.38461538461539, 1551057578.976524)
('P, I, D, (E), (T) --->', 14.248098557761523, 27.38962828458335, 11.160652394562078, 81.15384615384616, 1551057579.007895)
('P, I, D, (E), (T) --->', 13.498772595397497, 27.193586737689174, 9.616371444473259, 80.23076923076923, 1551057579.043856)
('P, I, D, (E), (T) --->', 11.969934015282774, 25.56672738412736, 8.122691163422587, 81.38461538461539, 1551057579.075918)
('P, I, D, (E), (T) --->', 13.56299706019098, 26.34636075225466, 7.387011536957743, 80.0, 1551057579.107881)
('P, I, D, (E), (T) --->', 12.525207753418215, 25.698388129545545, 5.840835309487261, 81.57692307692308, 1551057579.143825)
('P, I, D, (E), (T) --->', 12.609177460829358, 25.458371525602132, 4.658836102944292, 81.46153846153847, 1551057579.176576)
('P, I, D, (E), (T) --->', 13.960033856223674, 26.68921961902474, 3.3083264593896047, 81.88461538461539, 1551057579.205986)
('P, I, D, (E), (T) --->', 12.217054909714875, 25.561664719227245, 1.355245498950751, 83.3076923076923, 1551057579.242104)
('P, I, D, (E), (T) --->', 11.634685904952107, 24.41551826456573, -0.5771377665066098, 83.5, 1551057579.274154)
('P, I, D, (E), (T) --->', 12.006069084398746, 24.213828216681613, -1.7187545877956723, 84.84615384615384, 1551057579.307048)
('P, I, D, (E), (T) --->', 11.317310432101294, 23.4242245404421, -2.9223616385428954, 87.6923076923077, 1551057579.343202)
('P, I, D, (E), (T) --->', 9.09885460264644, 20.81096687286749, -4.570729963193401, 89.03846153846153, 1551057579.373956)
('P, I, D, (E), (T) --->', 8.482499082444406, 18.88798251887815, -6.299349883132663, 87.73076923076923, 1551057579.406166)
('P, I, D, (E), (T) --->', 7.200351300807654, 16.644342560246727, -7.67734336828579, 90.53846153846153, 1551057579.442151)
('P, I, D, (E), (T) --->', 7.097335521546427, 15.41950680166979, -9.737199783080712, 90.73076923076923, 1551057579.474446)
('P, I, D, (E), (T) --->', 6.309205435416743, 14.018958836251638, -10.212392806762352, 93.46153846153847, 1551057579.506804)
('P, I, D, (E), (T) --->', 6.366436481616347, 13.375915899742166, -11.467092513793602, 94.6923076923077, 1551057579.543062)
('P, I, D, (E), (T) --->', 5.9278096180020725, 12.615767567873156, -13.489484786742821, 96.65384615384616, 1551057579.574222)
('P, I, D, (E), (T) --->', 4.143140977784242, 10.45102476172082, -14.96139587898324, 99.03846153846153, 1551057579.606326)
('P, I, D, (E), (T) --->', 4.208670015187465, 9.434182396047875, -15.829977035277977, 99.53846153846153, 1551057579.642345)
('P, I, D, (E), (T) --->', 2.5510562531461574, 7.268147451170095, -17.360088963700036, 101.88461538461539, 1551057579.674363)
('P, I, D, (E), (T) --->', 1.2212167980264894, 4.8552905236115365, -18.11286606330941, 104.38461538461539, 1551057579.706191)
('P, I, D, (E), (T) --->', 0.24087865945750764, 2.668523921263276, -19.29665436286996, 106.53846153846153, 1551057579.742258)
('P, I, D, (E), (T) --->', 0.24145299931353748, 1.5757149599451754, -20.060987472289696, 107.42307692307692, 1551057579.774322)
('P, I, D, (E), (T) --->', -1.438251315531602, -0.6503938355590142, -21.86633743782113, 109.42307692307692, 1551057579.806637)
('P, I, D, (E), (T) --->', -1.7420662425507771, -2.0672631603302842, -22.40646934484829, 110.07692307692308, 1551057579.842913)
('P, I, D, (E), (T) --->', -3.4863428384143162, -4.519974418579459, -23.60761451696743, 113.23076923076923, 1551057579.874136)
('P, I, D, (E), (T) --->', -4.363852138350751, -6.62383934764048, -24.710630416625634, 115.26923076923077, 1551057579.906101)
('P, I, D, (E), (T) --->', -4.434202999658396, -7.746122673478636, -25.535895445876804, 117.07692307692308, 1551057579.942258)
('P, I, D, (E), (T) --->', -3.887480945897039, -7.760542282636357, -25.452940251824145, 119.73076923076923, 1551057579.974303)
('P, I, D, (E), (T) --->', -5.817529091675453, -9.697800232993632, -26.123426702019458, 123.5, 1551057580.006222)
('P, I, D, (E), (T) --->', -6.449119594930039, -11.298019711426855, -26.268067179348407, 123.84615384615384, 1551057580.042281)
('P, I, D, (E), (T) --->', -6.890756075308161, -12.539765931021588, -26.414072128002374, 125.76923076923077, 1551057580.071777)
('P, I, D, (E), (T) --->', -8.490470395489979, -14.760353361000773, -26.7956944424555, 127.5, 1551057580.102161)
('P, I, D, (E), (T) --->', -10.621645842578687, -18.001822523079074, -28.98172791274078, 129.96153846153845, 1551057580.138074)
('P, I, D, (E), (T) --->', -10.714244514404811, -19.715155775944346, -28.46138238590993, 131.69230769230768, 1551057580.170116)
('P, I, D, (E), (T) --->', -10.536266863791298, -20.39384475176347, -28.001698614214547, 132.73076923076923, 1551057580.202122)
('P, I, D, (E), (T) --->', -11.741489106000813, -21.938411481882547, -28.001698614214547, 135.53846153846155, 1551057580.238135)
('P, I, D, (E), (T) --->', -11.994275646273707, -22.96348138721498, -28.2204472505951, 134.84615384615384, 1551057580.270365)
('P, I, D, (E), (T) --->', -12.550923273410547, -24.03266396701804, -27.996178009381595, 136.8846153846154, 1551057580.302111)
('P, I, D, (E), (T) --->', -11.089234890464581, -23.1055668739736, -27.12503392997985, 134.92307692307693, 1551057580.338036)
('P, I, D, (E), (T) --->', -11.547220637203168, -23.100004074189968, -26.686874015830597, 136.26923076923077, 1551057580.370415)
('P, I, D, (E), (T) --->', -11.797725936446966, -23.34772797354195, -26.4332325730731, 137.15384615384616, 1551057580.402529)
('P, I, D, (E), (T) --->', -10.761417317051041, -22.435281303822016, -25.663585174944785, 137.84615384615384, 1551057580.438046)
('P, I, D, (E), (T) --->', -11.325270574758406, -22.542911226669414, -25.68389477078324, 137.80769230769232, 1551057580.470087)
('P, I, D, (E), (T) --->', -12.471459960225616, -23.742915573560325, -25.60948528591996, 138.92307692307693, 1551057580.501881)
('P, I, D, (E), (T) --->', -11.698375813121856, -23.56983359990202, -24.551230672951306, 140.5, 1551057580.538321)
('P, I, D, (E), (T) --->', -10.866021869410417, -22.650938669361427, -24.00702493449603, 138.42307692307693, 1551057580.571193)
('P, I, D, (E), (T) --->', -10.223746180668911, -21.549215515349623, -23.305250553194014, 140.92307692307693, 1551057580.604383)
('P, I, D, (E), (T) --->', -11.339418902766113, -22.114026660440924, -23.377958683076827, 140.73076923076923, 1551057580.640323)
('P, I, D, (E), (T) --->', -10.55168877702647, -21.608702107246934, -22.603806629341364, 139.1153846153846, 1551057580.672261)
('P, I, D, (E), (T) --->', -10.860371180129903, -21.66472223375337, -22.29845410623551, 138.53846153846155, 1551057580.705095)
('P, I, D, (E), (T) --->', -10.784167631243747, -21.61652874812043, -21.714699002374743, 139.30769230769232, 1551057580.740351)
('P, I, D, (E), (T) --->', -11.144106612617861, -21.952370986678076, -21.28014606014341, 139.46153846153845, 1551057580.77259)
('P, I, D, (E), (T) --->', -10.435302096050066, -21.411487589389104, -20.180888277311965, 140.34615384615384, 1551057580.804919)
('P, I, D, (E), (T) --->', -10.194838188716403, -20.900581983410955, -19.3176584979916, 139.65384615384616, 1551057580.840555)
('P, I, D, (E), (T) --->', -13.878683630552985, -24.328974622258464, -13.60054251665872, 138.80769230769232, 1551057580.872606)
('P, I, D, (E), (T) --->', -14.689387410079974, -26.853874721209205, -13.257456273982939, 138.3846153846154, 1551057580.904484)
('P, I, D, (E), (T) --->', -9.538102255816568, -22.965039616421173, -16.85386569254996, 139.76923076923077, 1551057580.940554)
